number_new,number,drksId,pruefer,cities_lead,cities_lead_corrected,manual_validation_cities_lead,Publication identified in which step,publication_DOI,publication_URL,article_yes_no,publication_date,unsure_about_publ_yes_no,reason,other_comments,title,firstDrksPublishDate,startDate,startDate_plannedActual,studyEnd,intervention.category0,intervention.value0,intervention.category1,intervention.value1,intervention.category2,intervention.value2,address.type0,address.affiliation0,address.firstname0,address.lastname0,address.type1,address.affiliation1,address.firstname1,address.lastname1,targetSize,recruitmentStatus,investorInitiated,monoMultiCentric,publication.category0,publication.type0,publication.value0,publication.category1,publication.type1,publication.value1,publication.category2,publication.type2,publication.value2,publication.category3,publication.type3,publication.value3,publication.category4,publication.type4,publication.value4
410,220,DRKS00005159,TB,Hannover,Hannover,yes,3,10.1177/2047487319849505,https://journals.sagepub.com/doi/10.1177/2047487319849505,yes,13.05.2019,no,,"""research letter"" in journal",Improvement of endogenous regeneration in female healthy volunteers through physical exercise “REBIRTH aktiv women”,2013-09-25,2013/11/20,Actual,2015/03/26,Arm 1,"Training intervention of 210 min per week over a period of 6 months. Training could be bicycling, ergometer training, swimming, walking, nordic-walking, jogging, running, rowing-ergometer, shoulder-arm-ergometer. Also daily activities will be relevant as physical activities.",Arm 2,Waiting-control group of half of the study participants.,,,Primary Sponsor,MHH - HTTG Chirurgie,Axel,Haverich,Contact for Scientific Queries,Medizinische Hochschule Hannover,Uwe,Tegtbur,313,"Recruiting complete, follow-up complete",yes,Monocenter trial,,,,,,,,,,,,,,,
182,221,DRKS00005481,TB,Hannover,Hannover,yes,1,10.4172/2165-7904.1000266,https://www.omicsonline.org/open-access/efficacy-of-high-carbohydrate-versus-high-protein-meal-replacements-onweight-reduction--a-randomized-controlled-trial-2165-7904-1000266.php?aid=54708,yes,30.06.2015,no,,,Comparison of two formula diets for weight reduction,2013-11-28,2014/02/10,Actual,2014/07/10,Arm 1,Group 1: intake of protein-rich formula  diet<br/><br/><br/>In the first two weeks participants have to replace all three meals a day by the formula diet. The next two weeks follows the replacement of two meals and finally should be replaced one meal by formula diet per day (depending on the daily schedule) for four weeks. <br/><br/>A protein-rich meal replacement consists of two serving spoons (about 34g) of powder and 300 ml low-fat milk and 5 g of vegetable oil.<br/>,Arm 2,Group 2: intake of carbohydrate-rich formula  diet<br/><br/>In the first two weeks participants have to replace all three meals a day by the formula diet. The next two weeks follows the replacement of two meals and finally should be replaced one meal by formula diet per day (depending on the daily schedule) for four weeks. <br/><br/>A carbohydrate-rich meal replacement consists of two serving spoons (about 30g) of powder and 300 ml low-fat milk and 5 g of vegetable oil.<br/>,,,Primary Sponsor,"Leibniz Universität Hannover, Institut für Lebensmittelwissenschaft und Humanernährung, Abteilung Ernährungsphysiologie und Humanernährung",Andreas,Hahn,Contact for Scientific Queries,"Leibniz Universität Hannover, Institut für Lebensmittelwissenschaft und Humanernährung, Abteilung Ernährungsphysiologie und Humanernährung",Katharina,Möller,160,"Recruiting complete, follow-up complete",no,Monocenter trial,Paper,[---]*,"Möller K, Willers J, Hahn A (2015): Efficacy of high carbohydrate versus high protein meal replacements on weight reduction - a randomized controlled trial, J Obes Weight Loss Ther 5: 266. doi: 10.4172/2165-7904.1000266 ",,,,,,,,,,,,
183,222,DRKS00006130,TB,Hannover,Hannover,yes,1,10.1186/s12931-015-0298-z,https://respiratory-research.biomedcentral.com/articles/10.1186/s12931-015-0298-z,yes,04.11.2015,no,,,Acute hemodynamic effects of non-invasive ventilation in patients with Pulmonary hypertension,2014-06-03,2013/10/31,Actual,2015/02/25,Arm 1,Patients with pulmonary hypertension class I and IV according to Nice-Classification undergo a 15 minute period of Adaptive Servoventilation treatment during right-heart catheterization (indicated for clinical purposes). Hemodynamic measurement will be performed during ventilation therapy and compared with baseline results.,Arm 2,Patients with pulmonary hypertension class II according to Nice-Classification undergo a 15 minute period of Adaptive Servoventilation treatment during right-heart catheterization (indicated for clinical purposes). Hemodynamic measurement will be performed during ventilation therapy and compared with baseline reults.,,,Primary Sponsor,Medizinische Hochschule Hannover,[---]*,[---]*,Contact for Scientific Queries,Medizinische Hochschule Hannover,Thomas,Bitter,36,"Recruiting complete, follow-up complete",yes,Monocenter trial,Paper,Olsson_Bitter_ASV_PAH_RespRes 2015.pdf,"Olsson KM, Frank A, Fube J, Welte T, Hoeper MM, Bitter T: Acute hemodynamic effects of adaptive servoventilation in patients with pre-capillary and post-capillary pulmonary hypertension",,,,,,,,,,,,
411,223,DRKS00006189,TB,Hannover,Hannover,tes,3,10.1016/j.nutres.2016.07.005,https://www.sciencedirect.com/science/article/pii/S0271531716302317,yes,01.10.2016,no,,,Effect of a dietary supplement with red rice on LDL-cholesterol,2014-07-03,2014/07/07,Actual,2015/05/08,Arm 1,"verum 1: dietary supplement with 200 mg red yeast rice (3 mg monacoline per tablet); 0,5 mg Astaxanthin; 0,2 mg folate and 2 mg Coenzym Q10. One capsule once a day together with the evening meal, un-chewed.",Arm 2,"placebo. One capsule once a day together with the evening meal, un-chewed.",,,Primary Sponsor,"Leibniz Universität Hannover, Institut für Lebensmittelwissenschaft und Humanernährung, Abteilung Ernährungsphysiologie und Humanernährung",Andreas,Hahn,Contact for Scientific Queries,"Leibniz Universität Hannover, Institut für Lebensmittelwissenschaft und Humanernährung, Abteilung Ernährungsphysiologie und Humanernährung",Katharina,Möller,160,"Recruiting complete, follow-up complete",no,Monocenter trial,,,,,,,,,,,,,,,
184,224,DRKS00006765,TB,Hannover,Hannover,yes,1,10.1039/c7fo01809f,https://pubmed.ncbi.nlm.nih.gov/29459911/,yes,20.02.2018,no,,Earlier publics did not report primary outcome,Influence of omega-3 fatty acids on levels of oxylipins in blood and urine,2014-09-18,2014/09/23,Actual,2016/07/05,Arm 1,The study will be carried out in two consecutive groups.<br/>Group A: DHA-rich algal oil in capsules (daily DHA dosis: 2.0 g)<br/>Group alpha-linolenic acid-rich linseed oil (daily alpha-linolenic acid dosis: 12.0 g),,,,,Primary Sponsor,Leibniz Universität Hannover Institut für Lebensmittelwissenschaft und Humanernährung,Andreas,Hahn,Contact for Scientific Queries,Leibniz Universität Hannover Institut für Lebensmittelwissenschaft und Humanernährung,Jan Philipp,Schuchardt,32,"Recruiting complete, follow-up complete",yes,Monocenter trial,Paper,[---]*,"Schuchardt, J.P., Ostermann, A.I., Stork, L., Fritzsch, S., Kohrs, H., Greupner, T., Hahn, A., and Schebb, N.H. (2017). Effect of DHA supplementation on oxylipin levels in plasma and immune cell stimulated blood. Prostaglandins, Leukotrienes and Essential Fatty Acids (PLEFA).",Paper,[---]*,"Schuchardt, J.P., Ostermann, A.I., Stork, L., Kutzner, L., Kohrs, H., Greupner, T., Hahn, A., and Schebb, N.H. (2016). Effects of docosahexaenoic acid supplementation on PUFA levels in red blood cells and plasma. Prostaglandins, Leukotrienes and Essential Fatty Acids (PLEFA) 115, 12–23.",Paper,[---]*,"Greupner, T., Kutzner, L., Nolte, F., Strangmann, A., Kohrs, H., Hahn, A., Schebb, N.H., and Schuchardt, J.P. (2018). Effects of a 12-week high-α-linolenic acid intervention on EPA and DHA concentrations in red blood cells and plasma oxylipin pattern in subjects with a low EPA and DHA status. Food & Function.",,,,,,
185,225,DRKS00006863,TB,Hannover,Hannover,yes,1,10.1016/S1473-3099(16)30408-X,https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(16)30408-X/fulltext#%20,yes,01.02.2017,no,,Also NCT02309918,Interferon-free Treatment of Acute Genotype 1 Hepatitis C Virus Infection with Ledipasvir/Sofosbuvir Fixed-Dose Combination - The HepNet Acute HCV IV Study,2014-10-31,2014/11/19,Actual,2016/06/13,Arm 1,"LDV/SOF FDC is manufactured as a FDC tablet, consisting of 90 mg LDV (Ledipasvir) and 400 mg SOF (Sofosbuvir) for oral administration. Subjects will take 1 tablet once daily with or without food for 6 weeks.",,,,,Primary Sponsor,Medizinische Hochschule Hannover,[---]*,[---]*,Contact for Scientific Queries,"Medizinische Hochschule Hannover Klinik für Gastroenterologie, Hepatologie und Endokrinologie",Markus,Cornberg,20,"Recruiting complete, follow-up complete",yes,Multicenter trial,Paper,[---]*,"""Ledipasvir plus sofosbuvir fixed-dose combination for 6 weeks in patients with acute hepatitis C virus genotype 1 monoinfection (HepNet Acute HCV IV): an open-label, single-arm, phase 2 study"" im The Lancet Infectious Diseases 17 (2), S. 215–222. DOI: 10.1016/S1473-3099(16)30408-X. Katja Deterding; Christoph D Spinner; Eckart Schott; Tania M Welzel; Guido Gerken; Hartwig Klinker; Ulrich Spengler; Johannes Wiegand; Julian Schulze zur Wiesch; Anita Pathil; Markus Cornberg; Andreas Umgelter; Caroline Zöllner; Stefan Zeuzem; Armin Papkalla; Kristina Weber; Svenja Hardtke; Heiko von der Leyen; Armin Koch; Dorothee von Witzendorff; Michael P Manns; Heiner Wedemeyer; HepNet Acute HCV IV Study Group (2016). ",,,,,,,,,,,,
412,226,DRKS00008181,TB,Hannover,Hannover,yes,3,10.5812/ircmj.88324,https://sites.kowsarpub.com/ircmj/articles/88324.html,yes,03.06.2019,no,,,Level of brain-derived neurotrophic factor during <br/>Ramadhan fasting in Germany,2015-07-13,2015/06/09,Actual,2015/07/29,Arm 1,One group will do fasting in Ramadhan (fasting group) for one month<br/>,Arm 2,the other group (control) will not do fasting. <br/>,,,Primary Sponsor,"Dept. Rehabilitation Medicine, Hannover Medical School",[---]*,[---]*,Contact for Scientific Queries,Klinik für RehabilitationsmedizinMedizinische Hochschule Hannover,Boya,Nugraha,50,"Recruiting complete, follow-up complete",yes,Monocenter trial,Paper,[---]*,[---]*,,,,,,,,,,,,
186,227,DRKS00011199,TB,Hannover,Hannover,yes,1,10.1039/C8FO00735G,https://pubs.rsc.org/en/content/articlelanding/2018/fo/c8fo00735g#!divAbstract,yes,13.08.2018,no,,,Metabolism of long-chain polyunsaturated fatty acids and oxylipins,2016-10-14,2016/10/10,Actual,2017/02/13,Arm 1,2-week flaxseed supplementation (25 g per day) and diet with ALA / LA ratio of 1: 20 ± 3.,Arm 2,2-week flaxseed supplementation (25 g per day) and diet with ALA / LA ratio of 1: 20 ± 3.,,,Primary Sponsor,Universität HannoverInstitut für Lebensmittelwissenschaft und Humanernährung,Andreas,Hahn,Contact for Scientific Queries,Institut für Lebensmittelwissenschaft und Humanernährung der Universität Hannover,Theresa,Greupner,15,"Recruiting complete, follow-up complete",yes,Monocenter trial,Paper,[---]*,"Greupner T, Kutzner L, Pagenkopf S, Kohrs H, Hahn A, Schebb NH, Schuchardt JP (2018): Effects of a low and a high dietary LA/ALA ratio on long-chain PUFA concentrations in red blood cells. Food Funct 9(9), 4742-4754.",,,,,,,,,,,,
187,228,DRKS00012257,TB,Hannover,Hannover,yes,1,10.1039/C8AY01753K,https://pubs.rsc.org/en/content/articlelanding/2018/AY/C8AY01753K#!divAbstract,yes,25.09.2018,yes,"""The data published here are derived from two different studies"" DRKS00006765 and DRKS00012257",,Short-term metabolism of long-chain polyunsaturated fatty acids and oxylipins,2017-04-04,2017/04/04,Actual,2017/07/14,Arm 1,Single-dose of a pure n-3 DHA-oil in combination with a breakfast. DHA-amount: ~ 2 g,Arm 2,Single-dose of a pure n-3 DPA-oil in combination with a breakfast. DHA-amount: ~ 2 g,Arm 3,Single-dose of a pure n-3 EPA-oil in combination with a breakfast. DHA-amount: ~ 2 g,Primary Sponsor,Institut für Lebensmittelwissenschaft und Humanernährung,Andreas,Hahn,Contact for Scientific Queries,Institut für Lebensmittelwissenschaft und Humanernährung,Theresa,Greupner,12,"Recruiting complete, follow-up complete",yes,Monocenter trial,Paper,[---]*,"Ostermann A, Greupner T, Kutzner L, Hartung NM, Hahn A, Schuchardt JP, Schebb NH (2018): Intra-individual variance of human plasma oxylipin pattern: Low inter-day variability in fasting blood samples versus high variability during the day, Analytical Methods, 10, 4935-4944 ",,,,,,,,,,,,
294,229,DRKS00012980,TB,Hannover,Hannover,yes,2,10.2196/mhealth.7943,14.09.2017,yes,14.09.2017,no,,,"Mobile Augmented Reality as a Feature for Self-Oriented, Blended Learning in Medicine: A Randomized Controlled Study",2017-09-20,2014/04/01,Actual,2014/08/01,Arm 1,Students learning with mobile learning method with mAR for 45 min.,Arm 2,Students learning with identical mobile learning method but without mAR for 45 min.,,,Primary Sponsor,Medizinische Hochschule Hannover,[---]*,[---]*,Contact for Scientific Queries,Medizinische Hochschuel Hannover,Urs-Vito,Albrecht,44,"Recruiting complete, follow-up complete",yes,Monocenter trial,,,,,,,,,,,,,,,
188,230,DRKS00010960,TB,Hannover Leipzig,Hannover Leipzig,yes,1,10.3238/arztebl.2017.0029,https://www.aerzteblatt.de/int/archive/article/185607/Promoting-hand-hygiene-compliance-PSYGIENE-a-cluster-randomized-controlled-trial-of-tailored-interventions,yes,20.01.2017,yes,Results of same trial here https://pubmed.ncbi.nlm.nih.gov/30962918/ Both seem to report primary outcome. Better double-check.,, Psychologically optimised hand hygiene promotion (PSYGIENE): a cluster-randomised trial,2016-08-19,2013/06/08,Actual,2016/02/11,Arm 1,"Psychologically tailored feedback discussions with management personnel and education sessions with physicians and nurses of six intensive care/haematopoietic stem cell transplantation units at Hannover Medical School, using behaviour change techniques (tailoring based on empirically assessed factors relevant for hand hygiene compliance according to the Health Action Process Approach).",Arm 2,"German ""Clean Care is Safer Care""-campaign (educational sessions for physicians and nurses of of six intensive care/haematopoietic stem cell transplantation units at Hannover Medical School)",,,Primary Sponsor,"Medizinische Hochschule Hannover, Institut für Medizinische Mikrobiologie und Krankenhaushygiene",Iris F.,Chaberny,Contact for Scientific Queries,"Universitätsklinikum Leipzig – AöR, Institut für Hygiene / Krankenhaushygiene",Iris F.,Chaberny,1087,"Recruiting complete, follow-up complete",yes,Monocenter trial,Paper,[---]*,"von Lengerke T, Lutze B, Krauth C, Lange K, Stahmeyer JT, Chaberny IF. In Reply [Correspondence]. Dtsch Arztebl Int 2017;114(18):329",Paper,[---]*,"von Lengerke T, Lutze B, Krauth C, Lange K, Stahmeyer JT, Chaberny IF. Promoting hand hygiene compliance: PSYGIENE—a cluster-randomized controlled trial of tailored interventions. Dtsch Arztebl Int 2017; 114(3):29-36",Paper,[---]*,"Stahmeyer JT, Lutze B, von Lengerke T, Chaberny IF, Krauth C. Hand hygiene in intensive care units: a matter of time? J Hosp Infect 2017;95(4):338-43",Paper,[---]*,"Lutze B, Chaberny IF, Graf K, Krauth C, Lange K, Schwadtke L, Stahmeyer J, von Lengerke T. Intensive care physicians' and nurses' perception that hand hygiene prevents pathogen transmission: Belief strength and associations with other cognitive factors. J Health Psychol 2017;22(1):89-100",Paper,[---]*,"von Lengerke T, Lutze B, Graf K, Krauth C, Lange K, Schwadtke L, Stahmeyer J, Chaberny IF. Psychosocial determinants of self-reported hand hygiene behaviour: a survey comparing physicians and nurses in intensive care units. J Hosp Infect 2015;91(1):59-67 "
189,231,DRKS00003252,TB,Heidelberg,Heidelberg,yes,1,10.1001/jama.2019.4755,https://pubmed.ncbi.nlm.nih.gov/31063574/,yes,07.05.2019,no,,,Use of Acetylsalicylic Acid (ASA) for Enhanced Early Detection of Colorectal Neoplasms,2013-03-13,2013/06/18,Actual,2017/01/27,Arm 1,"Volunteers in arm 1 receive a single oral dose of acetylsalicylic acid (ASA) 300 mg, in order to evaluate the diagnostic potential of two immunochemical Fecal Occult Blood Tests (iFOBTs) for detecting advanced colorectal neoplasms.<br/>Only volunteers with a planned (study-independent) colonoscopy (6 days to 3 month after ASA) are included.",Arm 2,Volunteers in arm 2 receive a single oral dose of a placebo. Other procedures are identical to arm 1.,,,Primary Sponsor,Deutsches Krebsforschungszentrum Heidelberg,[---]*,[---]*,Contact for Scientific Queries,Deutsches Krebsforschungszentrum Heidelberg,Hermann,Brenner,2400,"Recruiting complete, follow-up complete",yes,Multicenter trial,trial protocol (mandatory for transfer to Studybox),https://www.ncbi.nlm.nih.gov/pubmed/30249195,Studienprotokoll,Paper,https://www.ncbi.nlm.nih.gov/pubmed/?term=Effect+of+a+Single+Aspirin+Dose+Prior+to+Fecal,Studienpublikation,,,,,,,,,
190,232,DRKS00003388,TB,Heidelberg,Heidelberg,yes,1,10.1111/adb.12278,https://onlinelibrary.wiley.com/doi/abs/10.1111/adb.12278,yes,10.06.2015,no,,,Reward learning and extinction training in alcohol dependence: impact of<br/>fronto-striatal connectivity<br/>,2011-12-14,2012/06/01,Actual,2015/09/01,Arm 1,Abstinent alcohol-dependent patients with cue-exposure therapy (CET) (9 therapeutic sessions about 1.5 h),Arm 2,Abstinent alcohol-dependent patients without cue-exposure therapy (CET) ,Arm 3,Healthy controls,Primary Sponsor,"Klinik für Abhängiges Verhalten und Suchtmedizin, Zentralinstitut für Seelische Gesundheit, Universität<br/>Heidelberg",Falk,Kiefer,Primary Sponsor,"Abteilung Klinische Psychologie, Zentralinstitut für Seelische Gesundheit, Universität Heidelberg",Peter,Kirsch,180,"Recruiting complete, follow-up complete",yes,Monocenter trial,Paper,[---]*,"Kirsch, M., Gruber, I., Ruf, M., Kiefer, F., & Kirsch, P. (2015). Real-time functional magnetic resonance imaging neurofeedback can reduce striatal cue-reactivity to alcohol stimuli. Addict Biol. doi: 10.1111/adb.12278",,,,,,,,,,,,
57,233,DRKS00003442,TB,Heidelberg,Heidelberg,,0,,,,,,,Info on study here: https://www.klinikum.uni-heidelberg.de/en/zentrum-fuer-psychosoziale-medizin-zpm/klinik-fuer-allgemeine-psychiatrie/forschung/ag-persoenlichkeitsstoerungen/aktuelle-studien/behavioral-and-neural-effects-of-mothers-history-of-childhood-abuse-on-the-interaction-with-their-child-a-study-on-the-intergenerational-cycle-of-violence  This seems a different trial https://www.cambridge.org/core/journals/development-and-psychopathology/article/motherchild-intervention-program-for-adolescent-mothers-results-from-a-randomized-controlled-trial-the-teemo-study/B0A6DDEE0F19C65003E8CA0762CCD01F ,Behavioral and neural effects of mothers´history of childhood abuse on the interaction with their child,2012-07-04,2012/07/23,Actual,2014/12/31,Arm 1,"Parent-Child-Interaction-Therapy (Hembree-Kigin et al., 1995) ",Arm 2,"Individual stress coping training (modified after Kaluza, 2011)",,,Primary Sponsor,Klinik für Allgemeine Psychiatrie<br/>Universitätsklinikum Heidelberg,Sabine,Herpertz,Contact for Scientific Queries,Klinik für Allgemeine Psychiatrie,Katja,Bertsch,90,"Recruiting complete, follow-up complete",yes,Monocenter trial,,,,,,,,,,,,,,,
191,234,DRKS00004158,TB,Heidelberg,Heidelberg,yes,1,10.1111/clr.12691,https://onlinelibrary.wiley.com/doi/abs/10.1111/clr.12691,yes,18.09.2015,no,,,Periimplantitis and soft-tissue defects of dental implants – A pilot study on the fixing of the suprastructure as a possible factor affecting aetiology,2012-07-27,2013/11/11,Actual,2016/12/31,Arm 1,standard abutment,Arm 2,individual abutment,,,Primary Sponsor,"Universitätsklinikum Heidelberg<br/>Mund-Zahn-Kieferklinik, MZK II<br/>Poliklinik für Zahnärztliche Prothetik",Stefanie,Kappel,Contact for Scientific Queries,"Universitätsklinikum Heidelberg<br/>Mund-Zahn-Kieferklinik, MZK II<br/>Poliklinik für Zahnärztliche Prothetik",Stefanie,Kappel,20,"Recruiting complete, follow-up complete",yes,Monocenter trial,Paper,Residual Cement 2015.pdf,Undetected residual cement on standard or individualized all-ceramic abutments with cemented zirconia single crowns – a prospective randomized pilot trial,,,,,,,,,,,,
295,235,DRKS00004226,TB,Heidelberg,Heidelberg,yes,2,10.1186/s13063-018-2676-6,https://pubmed.ncbi.nlm.nih.gov/29793527/,yes,24.05.2018,no,,,The impact of pre-operative patient education on post-operative outcome after major visceral surgery - A cluster-randomized controlled trial (PEDUCAT  Trial),2012-10-23,2012/10/15,Actual,2014/03/08,Arm 1,Patients are provided with a general information brochure and an hour long seminar with presentations of various health related exercises ,Arm 2,Patients are provided with a general information brochure without additional education,,,Primary Sponsor,"Abteilung für Allgemein,- Viszeral,- und Transplantationschirurgie, Chirurgische Universitätsklinik Heidelberg",Phillip,Knebel,Contact for Scientific Queries,"Abteilung für Allgemein-, Viszeral- und Transplantationschirurgie; Chirurgische Universitätsklinik Heidelberg",Ulla,Klaiber,204,"Recruiting complete, follow-up complete",yes,Monocenter trial,Paper,[---]*,[---]*,,,,,,,,,,,,
192,236,DRKS00004245,TB,Heidelberg,Heidelberg,yes,1,10.1111/cid.12173,https://onlinelibrary.wiley.com/doi/abs/10.1111/cid.12173,yes,11.11.2013,yes,Early results only. Finmal results in this later paper: DOI 10.1111/cid.12349,,Immediate load of implant retained overdenture prothesis on the edentulous mandible ,2012-10-19,2010/07/07,Actual,2014/11/30,Arm 1,locator retained prothesis,Arm 2,bar retained prothesis,,,Primary Sponsor,Poliklinik für Zahnärztliche Prothetik,Peter,Rammelsberg,Contact for Scientific Queries,Poliklinik für Zahnärztliche Prothetik<br/>Universität Heidelberg,Stefanie,Kappel,46,"Recruiting complete, follow-up complete",yes,Monocenter trial,Paper,LoSt1.0 2013.pdf,"Immediate Loading of Two Dental Implants, in Edentulous Mandibles, with Locator® Attachments or Dolder® Bars: First Results from a Prospective Randomized Clinical Study",Paper,Lost1.0 2015.pdf,Immediate Loading of Dental Implants in Edentulous Mandibles by Use of Locator® Attachments or Dolder® Bars: Two-Year Results from a Prospective Randomized Clinical Study,,,,,,,,,
296,237,DRKS00004675,TB,Heidelberg,Heidelberg,yes,2,10.1007/s00464-018-6440-5,https://link.springer.com/article/10.1007/s00464-018-6440-5,yes,07.09.2018,no,,,The impact on training results of assigning either one or two test persons to work stations in multimodal laparascopic training courses.,2013-06-11,2012/10/19,Actual,2014/12/23,Arm 1,"Participants training alone.<br/><br/>All participants are asked to take a look at the online practice programmes before being introduced to the virtual reality trainer. Thereafter, all participants take a baseline test at the virtual reality trainer, involving a basic skills test and a cholecystectomy test. After this test, participants are randomly allotted to the two training gropus (groups 1 and 2) and to the control group.<br/><br/>Group 1 consist of students who all participate in a prescribed multimodal training curriculum involving box and virtual reality trainers individually (Single Player). After the introduction and the baseline test, Group 1 practice basic skills with the box trainer and virtual reality trainer, as well as practicing on a simulated laparoscopic cholecystectomy (LC) at the virtual reality trainer. At the end of the four-day training curriculum, Group 1 have to take the post-test at the virtual reality trainer. The LC is practiced with a Pulsating Organ Perfusion Trainer (POP trainer) at a later point of time, involving a hepatobiliary organ cluster of a pig.",Arm 2,"Participants training in pairs.<br/><br/>All participants are asked to take a look at the online practice programmes before being introduced to the virtual reality trainer. Thereafter, all participants take a baseline test at the virtual reality trainer, involving a basic skills test and a cholecystectomy test. After this test, participants are randomly allotted to the two training gropus (groups 1 and 2) and to the control group.<br/><br/>Group 2 consist of students who all participate in a prescribed multimodal training curriculum involving box and virtual reality trainers in pairs (Double Player). Note, that training in pairs involves less practice per individual participant since participant pairs are given the same practice time for each training device but ought to share it among the two of them. After the introduction and the baseline test, Group 2 practice basic skills with the box trainer and virtual reality trainer, as well as practicing on a simulated laparoscopic cholecystectomy (LC) at the virtual reality trainer. At the end of the four-day training curriculum, Group 2 (now separately) have to take the post-test at the virtual reality trainer. The LC is practiced with a Pulsating Organ Perfusion Trainer (POP trainer) at a later point of time, involving a hepatobiliary organ cluster of a pig.",Arm 3,"Control group.<br/><br/>All participants are asked to take a look at the online practice programmes before being introduced to the virtual reality trainer. Thereafter, all participants take a baseline test at the virtual reality trainer, involving a basic skills test and a cholecystectomy test. After this test, participants are randomly allotted to the two training gropus (groups 1 and 2) and to the control group.<br/><br/>The control group does not participate in any practice exercises at first, but is given the same introduction and is asked to participate in the same tests. Hence, the control group is only taking the baseline test on the starting date of the study. The post-test at the virtual reality trainer and the LC at the POP trainer are being taken on a later date. The control group does however receive the same training involving the virtual realty and box trainers after the tests have been conducted.",Primary Sponsor,"Klinik für Allgemein-, Viszeral- und Transplantationschirurgie Universität Heidelberg",Felix,Nickel,Contact for Scientific Queries,"Klinik für Allgemein-, Viszeral- und Transplantationschirurgie<br/>Universität Heidelberg",Beat,Müller,100,"Recruiting complete, follow-up complete",yes,Monocenter trial,Further trial documents,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3999459/,One or two trainees per workplace in a structured multimodality training curriculum for laparoscopic surgery? Study protocol for a randomized controlled trial - DRKS00004675.,Paper,[---]*,[---]*,,,,,,,,,
413,238,DRKS00004900,TB,Heidelberg,Heidelberg,yes,3,10.1097/SLA.0000000000003705,https://pubmed.ncbi.nlm.nih.gov/31800490/ ,yes,27.11.2019,no,,,"Multicenter, randomized, controlled trial comparing complication rates of open and closed implantation strategies for insertion of a totally implantable venous access port (TIVAP) in oncological patients",2014-08-28,2014/11/10,Actual,2016/10/07,Arm 1,"open strategy: Cutdown of cephalican vein for TIVAP implantation. (using of guide wire and/or peel away sheath / vein dilatator is permitted). If the aforementioned fail, Implantation by puncture of the subclavian vein.",Arm 2,closed strategy: Puncture of the subclavian vein with Seldinger technique for TIVAP implantation (guidance by fluoroscopy or ultrasound is permitted),,,Primary Sponsor,"Abteilung für Allgemein,- Viszeral,- und Transplantationschirurgie, Chirurgische Universitätsklinik Heidelberg",Phillip,Knebel,Contact for Scientific Queries,"Abteilung für Allgemein,- Viszeral,- und Transplantationschirurgie, Chirurgische Universitätsklinik Heidelberg",Felix,Hüttner,1154,"Recruiting complete, follow-up complete",yes,Multicenter trial,Further trial documents,http://trialsjournal.biomedcentral.com/articles/10.1186/s13063-015-0643-z,Trial protocoll,,,,,,,,,,,,
193,239,DRKS00005127,TB,Heidelberg,Heidelberg,yes,1,10.2147/CMAR.S204729,https://www.dovepress.com/whole-brain-helical-tomotherapy-with-integrated-boost-for-brain-metast-peer-reviewed-fulltext-article-CMAR,yes,10.02.2019,no,,,Whole brain helical tomotherapy with integrated boost for brain metastases in patients with malignant melanoma – a randomized trial,2013-07-03,2013/08/16,Actual,2017/07/31,Arm 1,helical Tomotherapy of the whole brain (10x3Gy) with integrated boost to the brain metastases (10x5Gy) and hippocampal-sparing,Arm 2,conventional whole-brain radiotherapy 10x3Gy,,,Primary Sponsor,Universitätsklinikum Heidelberg,[---]*,[---]*,Contact for Scientific Queries,Abteilung für Strahlentherapie,Florian,Sterzing,50,Recruiting stopped after recruiting started ,yes,Monocenter trial,Paper,https://doi.org/10.2147/CMAR.S204729,Vollpublikation,,,,,,,,,,,,
58,240,DRKS00005346,TB,Heidelberg,Heidelberg,,0,,,,,,,,Integration by movement - a motor-cognitive therapy for patients with psychotic disorders,2013-10-04,2013/10/07,Actual,2016/04/01,Arm 1,"motor-cognitive therapy , a manualized combination of cognitive elements combined with kinesitherapy and physical training as well as psychoeducation over 18 treatment sessions provided in 3 sessions per week (50 min.) with a minimun overall duration of 6 weeks",Arm 2,standard kinesitherapy over 18 treatment sessions provided in 3 sessions per week (50 min.) with a minimun overall duration of 6 weeks,,,Primary Sponsor,Klinik für Allgemeine PsychiatrieUniversitätsklinikum Heidelberg,Knut,Schnell,Contact for Scientific Queries,"Universitätsklinikum Heidelberg, Allgemeine Psychiatrie",Kirsten,Guba,128,Recruiting stopped after recruiting started ,yes,Multicenter trial,Paper,[---]*,[---]*,,,,,,,,,,,,
