nct_id;cities_lead;brief_title;official_title;study_first_submitted_date;start_date;start_date_type;completion_date;completion_date_type;PI_name;PI_affiliation;interventions;overall_status;phase;enrollment;enrollment_type;were_results_reported
NCT01966146;Aachen;Examination of Valve Insufficiency Before and After MitraClip or TAVI Procedure by 3D Echocardiography Compared to MRI;Quantitative Analysis of Catheter-based Interventional Therapies for Treating Valve Insufficiency by Using 3D Echocardiography.;2013-07-17;2013-05-31;;2014-10-31;Actual;;;Echography GE Healthcare Vivid E9;Completed;N/A;200;Anticipated;FALSE
NCT01966120;Bonn;Safety and Efficacy Study for the Field-directed Treatment of Actinic Keratosis (AK) With Photodynamic Therapy (PDT);A Randomized, Double-blind, Phase III, Multi-center Study to Evaluate the Safety and Efficacy of BF-200 ALA (Ameluz®) Versus Placebo in the Field-directed Treatment of Mild to Moderate Actinic Keratosis With Photodynamic Therapy (PDT) When Using the BF-RhodoLED® Lamp;2013-10-17;2013-10-31;;2015-04-30;Actual;Uwe Reinhold, Prof. Dr.;Dermatologisches Zentrum Bonn;BF-200 ALA gel | Placebo to BF-200 ALA gel | Photodynamic therapy with BF-RhodoLED;Completed;Phase 3;87;Actual;TRUE
NCT01965028;Regensburg;Daily Bi-temporal Transcranial Random Noise Stimulation in Tinnitus;Effectiveness of Daily Bi-temporal Transcranial Random Noise Stimulation in Patients With Chronic Tinnitus;2013-10-14;2013-10-31;;2016-01-31;Actual;Berthold Langguth, MD, Ph.D.;University of Regensburg;Transcranial random noise stimulation (tRNS);Completed;N/A;30;Actual;FALSE
NCT01963793;Charite;Topical Aprepitant in Prurigo Patients;Topical Aprepitant in Prurigo Patients An Exploratory Phase IIa Trial With Topically Applied Aprepitant in Patients With Prurigo;2013-09-18;2013-10-31;;2014-07-31;Actual;Maurer (ICI) Marcus, Prof. Dr. med.;Allergie-Centrum-Charité, Charité Universitätsmedizin Berlin, Charitéplatz1, D-10117 Berlin;Aprepitant | Placebo;Completed;Phase 2;20;Actual;FALSE
NCT01959737;Köln;Delivery Room Skin-to-skin Study;Influence of Early SSC of Mothers and Their VLBW Infants on Maternal Sensitivity and Responsiveness, Attachment Patterns and Reactivity of HPA Axis. Molecular Characterization of SSC Influence on Stress Signaling Pathways.;2013-10-07;2013-10-31;Actual;2016-01-31;Actual;;;skin-to.skin-contact;Completed;N/A;88;Anticipated;FALSE
NCT01959451;Munich;Testing Responsiveness to Platelet Inhibition on Chronic Antiplatelet Treatment For Acute Coronary Syndromes Trial;Platelet Function Guided Prasugrel Therapy in ACS Patients Undergoing PCI;2013-10-08;2013-09-30;;2017-06-30;Actual;Dirk Sibbing, MD;Munich University Hospital;Prasugrel | Clopidogrel;Completed;Phase 4;2600;Actual;FALSE
NCT01956175;Münster;Electrical Pharyngeal Stimulation for Dysphagia Therapy in Tracheostomized Stroke Patients;A Single-centre, Double Blind, Randomised Controlled Clinical Trial to Evaluate the Effect of Electrical Pharyngeal Stimulation as a Treatment for Stroke-related Dysphagia in Tracheostomized Stroke Patients;2013-09-24;2013-06-30;;2014-12-31;Actual;Rainer Dziewas, PhD;Department of Neurology, University of Muenster;Electrical pharyngeal stimulation | Sham stimulation;Completed;N/A;30;Actual;FALSE
NCT01954836;Charite;Short-Term Fasting During Chemotherapy in Patients With Gynecological Cancer- a Randomized Controlled Cross-over Trial;Short-Term Fasting During Chemotherapy in Patients With Gynecological Cancer- a Randomized Controlled Cross-over Trial;2013-09-29;2013-10-31;;2015-03-31;Actual;andreas A Michalsen, M.D.;Charite University;initial fasting | Secondary fasting;Completed;N/A;50;Actual;FALSE
NCT01954914;Dresden;Plerixafor as a Salvage Regimen to Mobilize Allogeneic Stem Cells in Healthy Volunteers;Plerixafor as a Salvage Regimen to Mobilize Allogeneic Stem Cells in Healthy Volunteers;2013-09-27;2013-12-31;;2016-01-31;Actual;Kristina Hölig, Dr. med.;Universitätsklinikum Carl Gustav Carus, Medizinische Klinik und Poliklinik I, 01307 Dresden;Plerixafor;Completed;Phase 2;39;Actual;FALSE
NCT01953549;Charite;Physical Fitness Training in Subacute Stroke (PHYS-Stroke);Physical Fitness Training in Subacute Stroke (PHYS-Stroke);2013-06-28;2013-10-31;;2017-11-01;Actual;;;physical fitness training | relaxation;Completed;Phase 3;200;Actual;FALSE
NCT01949064;Heidelberg;Use of Electromyography With Bio-Feedback for the Treatment of Craniomandibular Disorders;Anwendung Von Elektromyographie Mit Gleichzeitigem Bio-Feedback Zur Behandlung Von Craniomandibulären Dysfunktionen Und/Oder Bruxismus.;2013-09-17;2011-07-31;;2014-01-31;Actual;;;Grindcare | Michigan-type occlusal splint;Completed;Phase 2;44;Actual;FALSE
NCT01948726;Schleswig-Holstein;Hypofractionation With Simultaneous Integrated Boost for Early Breast Cancer;Multicenter Phase-II-Trial of Evaluation of Acute Toxicity in Hypofractionation With Simultaneous Integrated Boost for Early Breast Cancer;2013-08-23;2013-12-31;;2015-03-31;Actual;Juergen Dunst, Prof.;University Medical Center Schleswig-Holstein (UKSH);Hypofractionation with simultaneous integrated boost;Completed;Phase 2;150;Actual;FALSE
NCT01947595;Tübingen;Individualized Lifestyle Intervention in Subjects With Prediabetes;Prediabetes Lifestyle Intervention Study;2013-06-25;2012-03-31;;2017-08-31;Actual;Andreas Fritsche, Prof. Dr. med;University Hospital Tuebingen;intensified lifestyle intervention | normal lifestyle intervention | Single lifestyle advice;Completed;N/A;1145;Actual;FALSE
NCT01942473;Ulm;Effects of Automated Adjustment of FiO2 on Cerebral and Arterial Oxygenation in Preterm Infants;Effects of Automated Adjustment of Inspired Oxygen on Fluctuations of Regional Cerebral and Arterial Oxygenation in Preterm Infants With Frequent Desaturations;2012-08-03;2012-08-31;;2014-04-30;Actual;Markus Waitz, MD;Children's Hospital, University of Ulm;Automated FiO2 Control;Completed;N/A;17;Actual;FALSE
NCT01942447;Tübingen;Fecal Microbiota Transplantation in Recurrent or Refractory Clostridium Difficile Colitis;;2013-09-05;2013-10-31;;2015-05-31;Anticipated;;;FMT | Vancomycin;Unknown status;N/A;30;Anticipated;FALSE
NCT01941550;Aachen;Neoadjuvant Chemotherapy With Cabazitaxel;Neoadjuvant Chemotherapy With Cabazitaxel in High Risk Prostate Cancer Patients Prior to Radical Prostatectomy;2013-07-22;2013-07-31;;2016-01-31;Actual;;;Cabazitaxel chemotherapy;Terminated;Phase 2;11;Actual;FALSE
NCT01937767;Leipzig;Remimazolam Phase II Cardiac Anesthesia Study;A Randomized, Single-blind Phase II Study Evaluating the Efficacy, Safety and Pharmacokinetics of Remimazolam in General Anesthesia in Adult Patients Undergoing Cardiac Surgery, Including Follow-up Sedation in the PACU/ICU;2013-08-29;2013-08-31;;2014-02-19;Actual;Stefan Probst, MD;Heart Center Leipzig - University Hospital;Remimazolam | Propofol | Sevoflurane | Remifentanil | Fentanyl | Rocuronium;Completed;Phase 2;90;Actual;FALSE
NCT01937702;Mainz;A Trial Investigating the Influence of Injection Speed and Volume on the Perception of Subcutaneous Injection Pain;A Trial Investigating the Influence of Injection Speed and Volume on the Perception of Subcutaneous Injection Pain;2013-08-27;2014-04-30;;2014-09-30;Actual;Thomas Forst, Prof, MD;Profil Mainz GmbH & Co KG;0.9% NaCl (sodium chloride);Completed;Phase 1;80;Actual;FALSE
NCT01937351;Münster;Evaluation of the Pantheris Atherectomy System;Evaluation of the Pantheris Optical Coherence Tomography Imaging Atherectomy System for Use in the Peripheral Vasculature;2013-09-04;2014-07-31;Actual;2017-05-31;Anticipated;Arne Schwindt, MD;Muenster Hospital;Pantheris System;Unknown status;N/A;162;Actual;TRUE
NCT01935531;Regensburg;Effects of Topical Diclofenac on Tumor Metabolism;Prospective, Controlled and Monocentric Study to Evaluate the Effects of Topical 3% Diclofenac in 2.5% Hyaluronic Acid Gel on Tumor Metabolism in the Treatment of Actinic Keratoses in Immunocompetent and Immunocompromised Patients;2013-08-30;2013-06-30;;2016-03-31;Actual;;;3% diclofenac in 2.5% hyaluronic acid gel;Completed;Phase 4;38;Actual;FALSE
NCT01935297;Munich;Exercise Training After Transcatheter Aortic Valve Implantation;Safety, Applicability and Outcome of Regular Exercise Training After Transcatheter Aortic Valve Implantation;2013-07-05;2013-06-30;;2015-01-31;Actual;Axel Pressler, MD;Prevention, Rehabilitation & Sports Medicine, Technische Universität München, Germany;Exercise;Completed;N/A;30;Actual;FALSE
NCT01934699;Aachen;Intraprocedural Determination of Myocardial Vitality Using 2 Different Imaging Methods;Intraprocedural Determination of Myocardial Vitality Using Speckle Tracking Echocardiography Compared to Two-time MRI Diagnostics;2013-08-29;2011-06-30;;2016-07-31;Anticipated;Michael Becker, MD;University Hospital, Aachen;Cardiac ultrasound | MRI scanner;Unknown status;N/A;130;Actual;FALSE
NCT01931592;Köln;Controling Intestinal Colonization With Extended Spectrum ß-Lactamase Producing Enterobacteriaceae ESBL-E;Controling Intestinal Colonization of High Risk Patients With Extended Spectrum ß-Lactamase Producing Enterobacteriaceae (ESBL-E) - A Randomized Trial (CLEAR);2013-08-26;2014-01-31;;2016-12-31;Actual;Maria J Vehreschild, MD;University Hospital Cologne;ESBL eradication regimen | Placebo ESBL eradication;Terminated;Phase 2/Phase 3;29;Actual;FALSE
NCT01928823;Charite;Augmentation of Psychotherapy With D-Cycloserine in Agoraphobia;Augmentation of Exposure Therapy With D-Cycloserine in Patients With Agoraphobia With or Without Panic Disorder;2013-07-26;2011-11-30;;2014-05-31;Actual;Andreas Ströhle, Prof. Dr.;Charite University, Berlin, Germany;CBT | D-Cycloserine;Completed;Phase 2;73;Actual;FALSE
NCT01928810;Charite;Physical Activity and Cognitive Behavioural Therapy in Panic Disorder and Agoraphobia;The Influence of Physical Activity (Prior to In-vivo Exposure) on the Effect of Cognitive Behavioural Therapy in Patients With Panic Disorder and Agoraphobia;2013-07-26;2011-03-31;;2014-02-28;Actual;Sophie Bischoff, Dipl.-Psych.;Charite;Cognitive Behavioural Therapy;Completed;N/A;78;Actual;FALSE
NCT01928433;Giessen Marburg;Finafloxacin for the Treatment of cUTI and/or Acute Pyelonephritis;A Multi-Dose, Double-Blind, Double-Dummy, Active- Control, Randomized Clinical (Phase II) Study of Two Dosing Regimens of Finafloxacin for the Treatment of cUTI and/or Acute Pyelonephritis Requiring Hospitalisation.;2013-07-17;2012-12-31;;2015-10-31;Actual;Florian Wagenlehner, Prof.;Germany: University Hospital Giessen and Marburg, Department of Urology;Finafloxacin 800 mg i.v. once daily | Finafloxacin placebo i.v. once daily | Finafloxacin 800 mg tablets once daily | Finafloxacin placebo tablets once daily | Ciprofloxacin 400 mg i.v. twice daily | Ciprofloxacin placebo i.v. twice daily | Ciprofloxacin 500 mg oral twice daily | Ciprofloxacin placebo oral twice daily;Completed;Phase 2;225;Actual;TRUE
NCT01927991;Marburg;Internet-based Self-help for Tinnitus: The Role of Support;Internet-based Self-help for Tinnitus: The Role of Support;2013-08-17;2012-09-30;;2014-05-31;Actual;Cornelia Weise, Dr.;Philipps-University Marburg, Dept. of Psychology, Division of Clinical Psychology and Psychotherapy;iCBT (internet-based, cognitive-behavioural therapy);Completed;N/A;112;Actual;FALSE
NCT01927549;Schleswig-Holstein Leipzig;Culprit Lesion Only PCI Versus Multivessel PCI in Cardiogenic Shock;Prospective Randomized Multicenter Study Comparing Immediate Multivessel Revascularization by PCI Versus Culprit Lesion PCI With Staged Non-culprit Lesion Revascularization in Patients With Acute Myocardial Infarction Complicated by Cardiogenic Shock;2013-08-14;2013-04-30;;2017-10-31;Actual;Holger Thiele, MD;Heart Center Leipzig - University Hospital;Immediate multivessel PCI | Culprit Lesion only PCI;Completed;Phase 4;706;Actual;FALSE
NCT01924962;Freiburg;Recovery of Left Ventricular Function in Chronic Total Occluded Coronary Arteries;A Randomized Comparison of Recanalisation With Implantation of Cypher Sirolimus Eluting Coronary Stents and Medical Therapy;2013-08-15;2008-05-28;Actual;2017-06-16;Actual;Heinz Joachim Buettner, MD;Universitaets-Herzzentrum Freiburg-Bad Krozingen, Clinics for Cardiology and Angiology II, D-79189 Bad Krozingen, Germany;revascularisation;Completed;N/A;205;Actual;FALSE
NCT01924702;Charite;Chronic Aphasia - Improved by Intensive Training and Electrical Brain Stimulation (CATS);Chronic Aphasia - Improved by Intensive Training and Electrical Brain Stimulation (CATS);2013-08-14;2011-01-31;;2015-12-31;Anticipated;Agnes Floeel, Prof MD;Charite University, Berlin, Germany;Intensive language therapy | transcranial direct current stimulation;Unknown status;Phase 2;24;Anticipated;FALSE
NCT01924338;Schleswig-Holstein;Validation of a Method to Measure Soft Tissue Thickness Using Near Infrared Laser Light;Validierung Der Bestimmung Der Gewebedicke Mit Hilfe Von Licht im Infrarotbereich;2013-08-12;2013-09-30;;2015-02-28;Anticipated;Floris Ernst, PhD;University of Luebeck;MRI scan | Laser scan | Dental cast creation;Unknown status;N/A;25;Anticipated;FALSE
NCT01923961;Würzburg;Sodium Chloride and Protein-Bound Toxin Removal in Hemodiafiltration;Impact of an Increased Sodium Chloride Concentration in the Infusion Fluid of Predilution Hemodiafiltration on the Removal of Protein-Bound Uremic Toxins;2013-08-10;2013-08-31;Actual;2015-08-10;Actual;Detlef H Krieter, MD;Wuerzburg University Hospital;HDF NaCl | Hemodialysis | Standard Predilution Hemodiafiltration;Completed;N/A;8;Actual;TRUE
NCT01923493;Charite;Tuina for Patients With Chronic Neck Pain;Chronic Neck Pain: a Randomized Controlled Trial in Patients With Chronic Neck Pain Comparing Tuina vs. no Intervention Waiting List;2013-08-13;2013-08-31;;2014-06-30;Actual;Claudia M Witt, MD;Institute for Social Medicine, Epidemiology and Health Economics, Charité - Universitätsmedizin Berlin;tuina | no intervention;Completed;N/A;92;Actual;FALSE
NCT01921036;Munich;The Effects of Combined Exercise Training on Exercise Capacity in Cardiac Rehabilitation;Individuell Dosiertes Kraft-ausdauer-training in Ambulanten Herzgruppen - Einfluss Auf Koerperliche Belastbarkeit Von Herzpatienten.;2013-07-05;2011-02-28;;2015-01-31;Actual;;;traditional cardiac rehabilitation | combined exercise;Completed;N/A;70;Actual;FALSE
NCT01919866;Tübingen;Safety Study of CD3/CD19 Depleted Haploidentical Stem Cells;Haploidentical Stem Cell Transplantation With CD3/CD19 Depleted Stem Cells in Pediatric Patients With Refractory Hematological and Oncological Diseases;2013-08-07;2004-03-31;;2015-12-31;Anticipated;Peter Lang, MD;University Children’s Hospital Tuebingen;Transplantation of CD3/CD19 depleted stem cells;Unknown status;Phase 1/Phase 2;120;Anticipated;FALSE
NCT01916408;Munich;The Effects of Enzymes and Flavonoids on Inflammation and Coagulation After Marathon;The Effects of Oral Proteolytic and Hydrolytic Enzymes and Flavonoids on Inflammatory Markers and Coagulation After Marathon Running;2013-05-15;2013-08-31;;2014-08-31;Actual;;;Wobenzym plus | PL 1;Completed;Phase 1;160;Actual;FALSE
NCT01914965;Charite;Apathy Cure Through Bupropion in Huntington's Disease;A Randomized, Double-blind, Placebo-controlled Prospective Crossover Trial Investigating the Efficacy and Safety of the Treatment With Bupropion in Patients With Apathy in Huntington's Disease;2013-07-31;2012-06-30;;2014-05-31;Actual;Josef Priller, MD;Charite University, Berlin, Germany;Bupropion | Placebo;Completed;Phase 2;40;Actual;FALSE
NCT01914783;Hannover;Experimental Exposure to Air Pollutants and Sympathetic Nerve Activity in Human Subjects;Experimental Exposure to Air Pollutants and Sympathetic Nerve Activity in Human Subjects;2013-07-30;2013-07-31;;2015-12-31;Anticipated;;;ultrafine particles | ultrafine particles and ozone | clean air;Unknown status;N/A;30;Anticipated;FALSE
NCT01914497;Hamburg;Dipole Density Mapping of Typical Atrial Flutter;Dipole Density Right Atrial Mapping and Assessment of Therapy In Cavotricuspid Isthmus Flutter;2013-07-31;2014-10-31;;2014-11-30;Actual;Stephan Willems, MD;Universitätsklinikum Hamburg-Eppendorf;Acutus Medical System Mapping;Completed;N/A;3;Actual;FALSE
NCT01914627;Hamburg;Parallel Group Trial to Evaluate the Efficacy and Safety of Loion® Compared to 10% Salicylic Acid in Patients With Chronic Psoriasis Capitis;A Single-centre Randomised, Active-controlled, Observer-blinded, Parallel Group Trial to Evaluate the Efficacy and Safety of a Topical Dimeticone Formulation (Loion®) Compared to 10% Salicylic Acid in the Removal of Scaling in Patients With Chronic Psoriasis Capitis;2013-07-17;2013-08-31;;2014-01-31;Actual;Matthias Augustin, Prof.;University Medical Center Hamburg-Eppendorf (UKE);Dimethicone | Salicylic Acid;Completed;Phase 2;90;Actual;FALSE
NCT01914341;Tübingen;Short Term Effects of Live Music in Newborn Infants;Short-term Effects of Live Pentatonic Music on Physiological Parameters in Newborns Infants;2013-07-29;2013-07-31;;2014-01-31;Actual;Jan Vagedes, Dr.;"ARCIM-Institute; University Hospital Tuebingen";Music;Completed;N/A;20;Actual;FALSE
NCT01914159;Bonn;Ranibizumab In Pigment Epithelium Tears Secondary To Age-Related Macular Degeneration Study;;2013-07-28;2013-02-28;;2016-03-31;Actual;;;Ranibizumab (Lucentis, Novartis Pharma GmbH, Germany);Completed;Phase 2;24;Actual;TRUE
NCT01913899;Bochum;Short Term Effect of Post Surgical Treatment of Mirror Therapy of Phantom Limb Pain;Short Term Effect of Post Surgical Treatment of Mirror Therapy of Phantom Limb Pain;2013-07-30;2013-04-30;;2014-03-31;Anticipated;Christoph Maier, Prof. Dr.;Ruhr University Bochum;Occupational/ physical therapy | Mirror therapy;Unknown status;N/A;70;Anticipated;FALSE
NCT01908855;Marburg;Cognitive-Behavioral Therapy Enriched With Emotion Regulation Training for Multiple Somatoform Symptoms;Enriching Cognitive-Behavioral Therapy With Emotion Regulation Training in Patients With Chronic Multiple Somatoform Symptoms (ENCERT): A Randomized Controlled Trial;2013-07-19;2013-10-31;;2017-03-31;Actual;Winfried Rief, Ph.D.;Philipps University Marburg Medical Center;Cognitive-behavioral therapy + emotion regulation training for patients with multiple somatoform symptoms | Cognitive-behavioral therapy for patients with multiple somatoform symptoms;Completed;N/A;255;Actual;FALSE
NCT01908270;Duisburg;Effects of Yoga on Menopausal Symptoms in Women With Breast Cancer;Randomized Controlled Trial of Yoga for Menopausal Symptoms in Women With Breast Cancer;2013-07-23;2013-08-31;;2014-02-28;Actual;Holger Cramer, PhD;Department of Internal and Integrative Medicine, Kliniken Essen-Mitte, Faculty of Medicine, University of Duisburg-Essen;Yoga | Usual care;Completed;N/A;40;Actual;FALSE
NCT01907022;Regensburg;Combined rTMS and Relaxation in Chronic Tinnitus;Effectiveness of Repetitive Transcranial Magnetic Stimulation (rTMS) in Combination With Relaxation Therapy in Patients With Chronic Tinnitus;2013-07-19;2013-07-31;;2014-10-31;Actual;Berthold Langguth, MD, Ph.D.;University of Regensburg - Dept of Psychiatry;Left DLPFC Butterfly Coil;Completed;N/A;42;Actual;FALSE
NCT01905475;Hannover;CXCR4 Antagonism for Cell Mobilisation and Healing in Acute Myocardial Infarction (CATCH-AMI);CXCR4 AnTagonism for Cell Mobilisation and Healing in Acute Myocardial Infarction (CATCH-AMI). A Phase IIa, Double-Blind, Placebo-Controlled, Randomised, Multi-centre Study of POL6326, a CXCR4 Antagonist, in Patients With Large Reperfused ST Elevation Myocardial Infarction;2013-07-18;2013-07-31;;2016-06-30;Actual;Kai C. Wollert, MD;Hannover Medical School;POL6326 | Placebo;Completed;Phase 2;120;Actual;FALSE
NCT01903395;Halle;Risk-adapted Screening in First-degree Relatives of Patients With Colorectal Cancer;Nurse-led Colon Cancer Risk Counseling for First-degree Relatives to Enhance Use of Colonoscopy;2013-07-11;2012-03-31;;2015-12-31;Actual;Alexander Bauer, PhD;Martin-Luther-University Halle-Wittenberg, Medical Faculty, Institute for Health and Nursing Science;Nurse-led counselling;Completed;N/A;313;Actual;FALSE
NCT01901458;Düsseldorf;Two Different Collection Sets for Peripheral Blood Progenitor Cell Apheresis With Spectra Optia®;Prospective Randomized Trial Comparing Efficiency of Peripheral Blood Progenitor Cell Collection in Allogeneic Donors Using the Spectra Optia® IDL Set in Comparison With the Spectra Optia® MNC Collection Set;2013-07-10;2014-03-31;;2014-11-30;Actual;Johannes C Fischer, MD;Heinrich Heine University Hospital Duesseldorf;Spectra Optia® IDL-Set | Spectra Optia® Collection Set;Completed;N/A;50;Actual;FALSE
NCT01900327;Hamburg;Neoadjuvant Treatment in Resectable Pancreatic Cancer;Sequential Neoadjuvant Chemoradiotherapy (CRT) Followed by Curative Surgery vs. Primary Surgery Alone for Resectable, Non-metastasized Pancreatic Adenocarcinoma;2013-06-27;2014-02-28;;2017-07-31;Actual;Jakob R Izbicki, MD, FACS;Universitätsklinikum Hamburg-Eppendorf;External Beam Radiation | Gemcitabine neoadjuvant | Surgery | Gemcitabine adjuvant;Terminated;Phase 3;32;Actual;FALSE
NCT01899456;Munich;Impact of Sympathetic Renal Denervation- a Study in Patients After Renal Transplantation;A Randomized Safety and Efficacy Study Investigating the Effects of Catheter-based Renal Denervation in Patients After Renal Transplantation;2013-07-10;2013-07-31;;2015-11-30;Actual;Simon Schneider, MD;1. Medizinische Klinik und Poliklinik, Klinikum rechts der Isar, Technische Unversität München;Catheter-based renal denervation;Completed;N/A;18;Actual;FALSE
NCT01897558;Munich;Myocardial Micro-damage in Relation to Active and Passive Fixation Pacemaker Electrodes;Effect of Passive Versus Active Fixation Leads on the Magnitude of Troponin Release After Pacemaker Implantation (PACMAN Trial);2013-05-02;2013-04-30;;2014-12-31;Actual;Christof Kolb, MD;Deutsches Herzzentrum München;Pacemaker implantation;Completed;N/A;290;Anticipated;FALSE
NCT01896245;Rostock;Laryngeal Injuries After Anesthesia Induction With Three Different Sevoflurane Concentrations (Without Muscle Relaxant);Laryngeal Injuries After Anesthesia Induction With Three Different Sevoflurane Concentrations (Without Muscle Relaxant);2013-07-05;2013-07-31;;2014-09-30;Actual;Thomas Mencke, Dr.;Dep. of Anesthesia and Intensive Care Medicine, University of Rostock, Germany;sevoflurane 1,0 | sevoflurane 1,2 | sevoflurane 1,4;Completed;N/A;90;Actual;FALSE
NCT01896154;Schleswig-Holstein;Pilot Study on Effect Size of Non-digestible Polysaccharides (NPS) on Immunity;A Randomized, Controlled Clinical Study on the Effect of Non-digestible Polysaccharides (NPS) on the Immune Response to Influenza Vaccination in Elderly;2013-07-02;2012-08-31;;2014-06-30;Actual;Christiane Laue, MD;Clinical Research Center Kiel GmbH;NPS;Completed;Phase 1/Phase 2;239;Actual;FALSE
NCT01894113;Tübingen;Prospective, Randomised Multicenter Study Comparing the Efficacy of Transbronchial Forceps Biopsy With Cryobiopsy to Diagnose Interstitial Lung Disease.;Prospective, Randomised Multicenter Study Comparing Transbronchial Forceps Biopsy With Cryobiopsy in Interstitial Lung Disease;2013-07-02;2012-01-31;;2014-05-31;Actual;Jürgen Hetzel, MD;University Hospital Tuebingen;transbronchial lung biopsy;Completed;N/A;382;Anticipated;FALSE
NCT01891864;Schleswig-Holstein;Study to Demonstrate Equivalent Efficacy and to Compare Safety of Biosimilar Etanercept (GP2015) and Enbrel;A Randomized, Double-blind, Multicenter Study to Demonstrate Equivalent Efficacy and to Compare Safety and Immunogenicity of a Biosimilar Etanercept (GP2015) and Enbrel® in Patients With Moderate to Severe Chronic Plaque-type Psoriasis;2013-06-24;2013-06-30;;2015-03-31;Actual;Sascha Gerdes, MD;Klinik für Dermatologie, Venerologie und Allergologie Universitätsklinikum Schleswig Holstein, Kiel, Germany;GP2015 Etanercept | Enbrel;Completed;Phase 3;531;Actual;TRUE
NCT01891357;Köln;Phase II Trial to Validate Markers for a Response Evaluation of a Combined Therapy in Patients With HER2+ Breast Cancer;A Multicenter Site, Open Label, Phase II Trial to Validate Predictive Markers for the Response Evaluation of a Combined Chemo-immunotherapy in Patients With HER2-positive Early Breast Cancer;2013-05-14;2013-09-30;Actual;2016-11-16;Actual;Mathias Warm, MD;Krankenhaus Köln Holweide;Biopsy before and after three weeks of study treatment | paclitaxel | lapatinib | trastuzumab;Terminated;Phase 2;64;Actual;TRUE
NCT01890317;Leipzig;Mild Hypothermia in Cardiogenic Shock Complicating Myocardial Infarction;Randomized Pilot Study of Mild Hypothermia in Cardiogenic Shock Complicating Myocardial Infarction;2013-06-24;2012-08-31;;2016-03-31;Actual;Holger Thiele, MD;Heart Center Leipzig - University Hospital;Mild hypothermia;Completed;N/A;40;Actual;FALSE
NCT01888796;Aachen;Diastolic Dysfunction in Patients With Type 2 Diabetes Mellitus;Effect of Linagliptin Therapy on Myocardial Diastolic Function in Patients With Type 2 Diabetes Mellitus;2013-06-20;2013-09-30;;2014-12-31;Actual;Nikolaus Marx, Univ.-Prof.;Department of Internal Medicine I, RWTH Aachen University Hospital;Linagliptin | placebo;Terminated;Phase 3;8;Actual;FALSE
NCT01888055;Charite;Influence of tDCS on Cortical Plasticity in Healthy Older Adults;Influence of Transcranial Direct-current Stimulation on Cortical Plasticity in Healthy Older Adults;2013-06-25;2013-05-31;;2017-12-31;Anticipated;;;transcranial direct current stimulation | sham stimulation;Unknown status;N/A;15;Anticipated;FALSE
NCT01888029;Charite;Influence of tDCS on Cortical Plasticity in Patients With Mild Cognitive Impairment (MCI);Influence of Transcranial Direct Current Stimulation on Cortical Plasticity in Patients With Mild Cognitive Impairment (MCI);2013-06-25;2013-05-31;;2017-12-31;Anticipated;;;transcranial direct current stimulation | sham stimulation;Unknown status;N/A;15;Anticipated;FALSE
NCT01887899;Charite;Influence of tDCS on Cortical Plasticity in Patients With Dementia of the Alzheimer Type;Influence of Transcranial Direct-current Stimulation on Cortical Plasticity in Patients With Dementia of the Alzheimer Type;2013-06-25;2013-05-31;;2017-12-31;Anticipated;;;transcranial direct current stimulation | sham stimulation;Unknown status;N/A;15;Anticipated;FALSE
NCT01887041;Hamburg;Quality of Life After BDA or Stents to Treat Biliary Obstruction in Pancreas Cancer;Quality of Life After Bilioenteric Anastomosis in Comparison to Endoscopically Placed Stents in Patients With Unresectable Pancreatic Cancer and Jaundice;2013-06-24;2010-01-31;;2015-12-31;Actual;Jacob R Izbicki, MD;Universitätsklinik Hamburg;Stent | Biliodigestive anastomosis;Terminated;Phase 4;24;Actual;FALSE
NCT01885403;Aachen;Acute Congestive Heart Failure;Non-Invasive Pulmonary Monitoring in Patients With Cardiogenic Pulmonary Congestion and Edema;2013-06-20;2013-06-30;;2016-04-30;Anticipated;Jörg Schröder, MD;Department of Cardiology, Pneumology, Angiology and Intensive Care, Internal Medicine I (MK I), University Hospital Aachen (UKA);non-invasive respiratory parameter measurements;Unknown status;N/A;50;Anticipated;FALSE
NCT01884376;Aachen;Clinical Study for the Treatment of Peripheral Nerve Defects With Neuromaix;Klinische Interventionsstrategie Zur überbrückenden Behandlung Peripherer Nervendefekte Mit Neuromaix;2013-06-19;2013-07-31;;2015-05-31;Actual;Ahmet Bozkurt, PD Dr. med.;Department of Plastic Surgery, Hand Surgery and Burn Center,University Hospital RWTH Aachen;Neuromaix;Completed;N/A;20;Actual;FALSE
NCT01883765;Tübingen;Efficacy of Neurofeedback Training in Adults With ADHD;Efficacy of a Neurofeedback Treatment in Adults With ADHD: a Triple-blind Randomized Placebo-controlled Study;2013-02-21;2013-02-28;;2016-11-30;Actual;Michael Schönenberg, Dr;University Hospital Tuebingen;Neurofeedback active | Neurofeedback sham | Metacognitive Training;Completed;N/A;118;Actual;FALSE
NCT01883531;Tübingen;Crossover Trial Determining the Efficacy of Dry Powder Mannitol to Improve Lung Function in Subjects Aged 6-17 Years;A Randomised, Multicentre, Double-blind, Placebo-controlled, Crossover Trial Determining the Efficacy of Dry Powder Mannitol in Improving Lung Function in Subjects With Cystic Fibrosis Aged Six to Seventeen Years;2013-06-17;2013-06-30;;2015-10-31;Actual;Joachim Riethmuller, Dr;Universitats Kinderklinik Tubingen, Germany;Inhaled Mannitol | Inhaled Placebo;Completed;Phase 2;95;Actual;FALSE
